연번,도로명주소,구분,세부위치,박스수량,관리자,관리부서,관리자연락처,데이터기준일자,
1.0,서울특별시 마포구 공덕동 마포대로20길26,공동주택,공덕삼성래미안@2차 (108동앞 2개.201동앞. 1개),3.0,김종권,자원순환과,02-3153-9216,45064.0,
2.0,서울특별시 마포구 공덕동 만리재옛길84,주민센터,공덕동주민센터,1.0,김종권,자원순환과,02-3153-9216,45064.0,
3.0,서울특별시 마포구 공덕동 마포대로10길22,공동주택,한화(꿈에그린)APT ,1.0,김종권,자원순환과,02-3153-9216,45064.0,
4.0,서울특별시 마포구 공덕동 만리재옛길25,공동주택,신흥연립입구,1.0,김종권,자원순환과,02-3153-9216,45064.0,
5.0,서울특별시 마포구 공덕동 만리재옛길30,공동주택,신덕연립,1.0,김종권,자원순환과,02-3153-9216,45064.0,
6.0,서울특별시 마포구 공덕동 백범로199,공동주택,메트로디오빌 주상복합,1.0,김종권,자원순환과,02-3153-9216,45064.0,
7.0,서울특별시 마포구 공덕동 백범로239,공동주택,대림e편한세상@ (입구바로우측경비실 옆),1.0,김종권,자원순환과,02-3153-9216,45064.0,
8.0,서울특별시 마포구 공덕동 백범로37길12,공동주택,신공덕삼성@(임대) 112동앞 (1개: 진입후 바로 우측),1.0,김종권,자원순환과,02-3153-9216,45064.0,
9.0,서울특별시 마포구 공덕동 백범로230,공동주택,브라운스톤@ 102.103 윗쪽으로올라가면서 우측,2.0,김종권,자원순환과,02-3153-9216,45064.0,
10.0,서울특별시 마포구 공덕동 백범로37길12,공동주택,신공덕삼성@ 1차 (2개: 111동앞 + 105동앞),2.0,김종권,자원순환과,02-3153-9216,45064.0,
11.0,서울특별시 마포구 공덕동 만리재로60,공동주택,신공덕삼성@ 3차 (관리소앞),1.0,김종권,자원순환과,02-3153-9216,45064.0,
12.0,서울특별시 마포구 공덕동 만리재로14길27,공동주택,두영이지안@,1.0,김종권,자원순환과,02-3153-9216,45064.0,
13.0,서울특별시 마포구 공덕동 만리재로74,공동주택,신공덕삼성@ 2차 (진입후 우측 202 지하주차장),1.0,김종권,자원순환과,02-3153-9216,45064.0,
14.0,서울특별시 마포구 공덕동 마포대로196,공동주택,고려아카데미텔,1.0,김종권,자원순환과,02-3153-9216,45064.0,
15.0,서울특별시 마포구 공덕동 마포대로208,공동주택,효성인텔리안오피스텔,1.0,김종권,자원순환과,02-3153-9216,45064.0,
16.0,서울특별시 마포구 공덕동 마포대로262,공동주택,서서울 삼성@ (정문 경비실 옆),1.0,김종권,자원순환과,02-3153-9216,45064.0,
17.0,서울특별시 마포구 공덕동 환일길 7,주택가,(서울제일교회) 앞,1.0,김종권,자원순환과,02-3153-9216,45064.0,
18.0,서울특별시 마포구 공덕동 환일길 30,주택가,,1.0,김종권,자원순환과,02-3153-9216,45064.0,
19.0,서울특별시 마포구 공덕동 백범로205,공동주택,펜트라우스@ 101,102,103,104동, 오피스텔 각 1개,5.0,김종권,자원순환과,02-3153-9216,45064.0,
20.0,서울특별시 마포구 공덕동 백범로212,공동주택,대우월드마크,1.0,김종권,자원순환과,02-3153-9216,45064.0,
21.0,서울특별시 마포구 공덕동 손기정로6길 3,주택가,,1.0,김종권,자원순환과,02-3153-9216,45064.0,
22.0,서울특별시 마포구 공덕동 마포대로16나길 30,주택가,,1.0,김종권,자원순환과,02-3153-9216,45064.0,
23.0,서울특별시 마포구 공덕동 마포대로14길25,주택가,,1.0,김종권,자원순환과,02-3153-9216,45064.0,
24.0,서울특별시 마포구 공덕동 만리재옛길68-3,주택가,,1.0,김종권,자원순환과,02-3153-9216,45064.0,
25.0,서울특별시 마포구 공덕동 만리재로16길20-5,주택가,,1.0,김종권,자원순환과,02-3153-9216,45064.0,
26.0,서울특별시 마포구 공덕동 환일길42,주택가,환일슈퍼앞,1.0,김종권,자원순환과,02-3153-9216,45064.0,
27.0,서울특별시 마포구 공덕동 임정로19길14,주택가,,1.0,김종권,자원순환과,02-3153-9216,45064.0,
