행정동 ,위치,기준일자
구로2동,가마산로20다길 3,2023-03-31
구로2동,구로동로28길 58,2023-03-31
구로2동,가마산로20다길 28-14,2023-03-31
구로2동,가마산로20다길 22-10,2023-03-31
구로2동,가마산로20나길 22-2,2023-03-31
구로2동,구로동로 221-1,2023-03-31
구로2동,구로동로 205,2023-03-31
구로2동,구로동로43길 24,2023-03-31
구로2동,구로동로43길 40,2023-03-31
구로2동,가마산로 134,2023-03-31
구로2동,가마산로 174-9,2023-03-31
구로2동,구로동로35길 22,2023-03-31
구로2동,구로동로35길 16,2023-03-31
구로2동,구로동로35길 13,2023-03-31
구로2동,벚꽃로74길 20,2023-03-31
구로2동,구로동로41길 58,2023-03-31
구로2동,구로동로41길 65,2023-03-31
구로2동,가마산로11길 10,2023-03-31
구로2동,가마산로9길 8-21,2023-03-31
구로2동,가마산로 175,2023-03-31
구로2동,가마산로7길 13,2023-03-31
구로2동,가마산로5길 13,2023-03-31
구로2동,가마산로 153-7,2023-03-31
구로2동,구로동로17길 57-8,2023-03-31
구로2동,구로동로17길 56-5,2023-03-31
구로2동,구로동로17길 46,2023-03-31
구로2동,구로동로17길 40,2023-03-31
구로2동,구로동로17길 37-54,2023-03-31
구로2동,벚꽃로 39,2023-03-31
구로2동,벚꽃로 398,2023-03-31
구로2동,가마산로 159-14,2023-03-31
구로2동,벚꽃로 414-1,2023-03-31
구로2동,벚꽃로68길 5,2023-03-31
구로2동,벚꽃로 446,2023-03-31
구로2동,구로동로48길 18,2023-03-31
구로2동,벚꽃로74길 1,2023-03-31
구로2동,구로동로43길 41,2023-03-31
구로2동,구로동로43길 31,2023-03-31
구로2동,구로동로43길 17,2023-03-31
구로2동,구로동로43길 13,2023-03-31
구로2동,구로동로42길 15,2023-03-31
구로2동,구로동로 210-10,2023-03-31
구로2동,구로중앙로27다길 1,2023-03-31
구로2동,구로중앙로27길 66,2023-03-31
구로2동,벚꽃로 466,2023-03-31
구로2동,벚꽃로 468,2023-03-31
구로2동,벚꽃로76길 4,2023-03-31
구로2동,벚꽃로78길 2,2023-03-31
구로2동,벚꽃로 484,2023-03-31
구로2동,구로동로45길 26,2023-03-31
구로2동,구로동로45길 14,2023-03-31
구로2동,구로동로47길 10-5,2023-03-31
구로2동,구로동로 224,2023-03-31
구로2동,구로동로 230-1,2023-03-31
구로2동,구로동로50길 9,2023-03-31
구로2동,구로중앙로27길 18,2023-03-31
구로2동,구로중앙로27길 21,2023-03-31
구로2동,구로중앙로 103,2023-03-31
구로2동,구로중앙로27가길 23,2023-03-31
구로2동,구로중앙로27가길 13,2023-03-31
구로2동,구로중앙로27나길 16,2023-03-31
구로2동,구로동로40길 4,2023-03-31
구로2동,구로동로40나길 9,2023-03-31
구로2동,구로중앙로27나길 32,2023-03-31
구로2동,구로중앙로21길 10-15,2023-03-31
구로2동,구로중앙로21길 10,2023-03-31
구로2동,구로중앙로21길 40,2023-03-31
구로2동,구로중앙로21길 58,2023-03-31
구로2동,구로중앙로21길 72,2023-03-31
구로2동,가마산로19길 25,2023-03-31
구로2동,구로동로38길 46,2023-03-31
구로2동,가마산로22길 48,2023-03-31
구로2동,가마산로20라길 20-7,2023-03-31
구로2동,가마산로20다길 14-14,2023-03-31
구로2동,가마산로20길 43,2023-03-31
구로2동,구로동로28길 33-41,2023-03-31
구로2동,가마산로15길 6-2,2023-03-31
구로2동,가마산로20나길 22-2,2023-03-31
구로2동,가마산로20다길 28-13,2023-03-31
구로2동,가마산로20다길 22-10,2023-03-31
구로2동,가마산로20다길 3,2023-03-31
구로2동,가마산로20길 19,2023-03-31
구로2동,구로동로7다길 11,2023-03-31
구로3동,디지털로26길 29,2023-03-31
구로3동,디지털로26길 61,2023-03-31
구로3동,디지털로 242,2023-03-31
구로3동,구로동로 79,2023-03-31
구로3동,도림로12길 15-3,2023-03-31
구로3동,디지털로27나길 10-6,2023-03-31
구로3동,디지털로27길 58,2023-03-31
구로3동,디지털로27길 120-3,2023-03-31
구로3동,디지털로27길 124-12,2023-03-31
구로3동,도림로10길 5-4,2023-03-31
구로3동,도림로12길 9,2023-03-31
구로3동,도림로 40-1,2023-03-31
구로3동,도림로 46,2023-03-31
구로3동,디지털로27라길 67,2023-03-31
구로3동,도림로 44-9,2023-03-31
구로3동,도림로 53,2023-03-31
구로3동,도림로 98,2023-03-31
구로3동,도림천로 376,2023-03-31
구로3동,도림로20가길 30,2023-03-31
구로3동,도림로20길 18,2023-03-31
구로3동,도림로20길 68,2023-03-31
구로3동,디지털로35길 34,2023-03-31
구로3동,디지털로35길 10,2023-03-31
구로3동,디지털로32길 82,2023-03-31
구로3동,디지털로32길 96,2023-03-31
구로3동,디지털로32다길 13,2023-03-31
구로3동,시흥대로163길 13,2023-03-31
구로3동,디지털로32다길 46,2023-03-31
구로3동,디지털로32다길 58,2023-03-31
구로3동,디지털로32다길 60,2023-03-31
구로3동,디지털로32다길 64,2023-03-31
구로3동,디지털로32다길 65,2023-03-31
구로3동,시흥대로161가길 4,2023-03-31
구로3동,시흥대로161가길 16-6,2023-03-31
구로3동,시흥대로161가길 26,2023-03-31
구로3동,디지털로32가길 76-17,2023-03-31
구로3동,디지털로32가길 82,2023-03-31
구로3동,디지털로32가길 46-5,2023-03-31
구로3동,시흥대로163길 17,2023-03-31
구로3동,시흥대로161길 18,2023-03-31
구로3동,시흥대로161길 20,2023-03-31
구로3동,시흥대로161길 24,2023-03-31
구로3동,시흥대로161길 36-6,2023-03-31
구로3동,시흥대로 38,2023-03-31
구로3동,도림천로 379,2023-03-31
구로3동,디지털로432가길 72,2023-03-31
구로3동,디지털로432가길 66,2023-03-31
구로3동,디지털로432가길 65,2023-03-31
구로3동,디지털로432가길 54,2023-03-31
구로3동,디지털로432가길 56,2023-03-31
구로4동,구로중앙로18길 71,2023-03-31
구로4동,구로중앙로18길 53,2023-03-31
구로4동,구로중앙로18길 11,2023-03-31
구로4동,구로중앙로18길 5,2023-03-31
구로4동,구로중앙로14길 42 ,2023-03-31
구로4동,구로중앙로14길 46,2023-03-31
구로4동,구로중앙로8길 41,2023-03-31
구로4동,구로중앙로 14,2023-03-31
구로4동,구로중앙로19길 11,2023-03-31
구로4동,구로중앙로11길 14,2023-03-31
구로4동,구로중앙로7길 6,2023-03-31
구로4동,구로중앙로7길 28,2023-03-31
구로4동,도림로 37,2023-03-31
구로4동,도림로23길 14,2023-03-31
구로4동,구로동로18길 44,2023-03-31
구로4동,구로동로12길 16-9,2023-03-31
구로4동,구로동로8길 17,2023-03-31
구로4동,구로동로 86,2023-03-31
구로4동,구로동로12길 4,2023-03-31
구로4동,구로동로8길 70-3,2023-03-31
구로4동,구로동로22길 51,2023-03-31
구로4동,구로동로12길 60,2023-03-31
구로4동,구로동로12길 59-10,2023-03-31
구로4동,구로동로22길 36,2023-03-31
구로4동,구로동로12길 70,2023-03-31
구로4동,구로동로8길 62-8,2023-03-31
구로4동,구로동로22길 82,2023-03-31
구로4동,구로동로22길 87,2023-03-31
구로4동,구로동로18길 56-16,2023-03-31
구로4동,도림로 11,2023-03-31
구로4동,구로동로18길 44-30,2023-03-31
구로4동,도림로3길 19,2023-03-31
구로4동,구로동로18길 44-12,2023-03-31
구로4동,구로중앙로15길 21,2023-03-31
구로4동,구로중앙로19길 25-25,2023-03-31
구로4동,가마산로20다길 45,2023-03-31
구로4동,구로동로28길 78-2,2023-03-31
구로4동,구로중앙로7길 16,2023-03-31
구로4동,구로중앙로5길 35,2023-03-31
구로5동,공원로 26,2023-03-31
구로5동,공원로8길 9-10,2023-03-31
구로5동,공원로6가길 52,2023-03-31
구로5동,공원로6나길5-6,2023-03-31
구로5동,공원로6나길 11-12,2023-03-31
구로5동,공원로6나길 11-20,2023-03-31
구로5동,공원로6다길 14,2023-03-31
구로5동,새말로16길 16,2023-03-31
구로5동,공원로6나길 29-22,2023-03-31
구로5동,공원로6나길 35-23,2023-03-31
구로5동,공원로6나길 49-15,2023-03-31
구로5동,새말로18길 20-15,2023-03-31
구로5동,새말로18길 20-9,2023-03-31
구로5동,새말로18길 42,2023-03-31
구로5동,공원로8길 59,2023-03-31
구로5동,공원로6길 25,2023-03-31
구로5동,공원로8길 23,2023-03-31
구로5동,구로중앙로22길 3,2023-03-31
구로5동,구로중앙로22길 37,2023-03-31
