행정동,도로명주소,지번주소,데이터기준일자
목1동,서울특별시 양천구 목동동로 240,서울특별시 양천구 목1동 932,2023-04-20
목1동,서울특별시 양천구 신목로 108-10,서울특별시 양천구 목1동 404-162,2023-04-20
목1동,서울특별시 양천구 오목로 56길 14,서울특별시 양천구 목1동 405-30,2023-04-20
목1동,서울특별시 양천구 오목로 56길 10,서울특별시 양천구 목1동 405-472,2023-04-20
목1동,서울특별시 양천구 목동동로 206-1,서울특별시 양천구 목1동 405-207,2023-04-20
목2동,서울특별시 양천구 목동중앙본로2길 5,서울특별시 양천구 목2동 750-6,2023-04-20
목2동,서울특별시 양천구 목동중앙로7길 74,서울특별시 양천구 목2동 229-11,2023-04-20
목2동,서울특별시 양천구 목동중앙본로 50-7,서울특별시 양천구 목2동 229-1,2023-04-20
목2동,서울특별시 양천구 목동중앙본로 56,서울특별시 양천구 목2동 234-1,2023-04-20
목2동,서울특별시 양천구 목동중앙본로13길 12,서울특별시 양천구 목2동 315-37,2023-04-20
목2동,서울특별시 양천구 목동중앙본로 15길9,서울특별시 양천구 목2동 315-38,2023-04-20
목2동,서울특별시 양천구 목동중앙본로 9길7,서울특별시 양천구 목2동 315-65,2023-04-20
목2동,서울특별시 양천구 목동중앙본로 11길12,서울특별시 양천구 목2동 315-53,2023-04-20
목2동,서울특별시 양천구 목동중앙본로 60-3,서울특별시 양천구 목2동 233-5,2023-04-20
목2동,서울특별시 양천구 목동중앙본로 18길 14,서울특별시 양천구 목2동 231-62,2023-04-20
목2동,서울특별시 양천구 목동중앙본로 18길31,서울특별시 양천구 목2동 231-39,2023-04-20
목2동,서울특별시 양천구 목동중앙본로 20길34,서울특별시 양천구 목2동 231-40,2023-04-20
목2동,서울특별시 양천구 목동중앙본로 20길15,서울특별시 양천구 목2동 231-24,2023-04-20
목2동,서울특별시 양천구 목동중앙본로 19길13,서울특별시 양천구 목2동 315-13,2023-04-20
목2동,서울특별시 양천구 목동중앙본로 18길10,서울특별시 양천구 목2동 231-59,2023-04-20
목2동,서울특별시 양천구 목동중앙본로 18길4,서울특별시 양천구 목2동 231-242,2023-04-20
목2동,서울특별시 양천구 목동중앙본로 2길 19,서울특별시 양천구 목2동 230-17,2023-04-20
목2동,서울특별시 양천구 목동중앙본로 2길32,서울특별시 양천구 목2동 231-132,2023-04-20
목2동,서울특별시 양천구 목동중앙본로 2길37,서울특별시 양천구 목2동 437-20,2023-04-20
목2동,서울특별시 양천구 목동중앙본로 2길38-23,서울특별시 양천구 목2동 231-180,2023-04-20
목2동,서울특별시 양천구 목동중앙본로 2길 38-39,서울특별시 양천구 목2동 231-195,2023-04-20
목2동,서울특별시 양천구 목동중앙본로 2길 38-45,서울특별시 양천구 목2동 231-193,2023-04-20
목2동,서울특별시 양천구 목동중앙본로 2길 28-41,서울특별시 양천구 목2동 231-222,2023-04-20
목2동,서울특별시 양천구 목동중앙본로 2길 28-27,서울특별시 양천구 목2동 231-251,2023-04-20
목2동,서울특별시 양천구 목동중앙본로 2길 28-15,서울특별시 양천구 목2동 231-128,2023-04-20
목2동,서울특별시 양천구 목동중앙본로 18길62,서울특별시 양천구 목2동 231-168,2023-04-20
목2동,서울특별시 양천구 목동중앙본로 18길79,서울특별시 양천구 목2동 231-216,2023-04-20
목2동,서울특별시 양천구 목동중앙본로 2길 46-42,서울특별시 양천구 목2동 231-196,2023-04-20
목2동,서울특별시 양천구 목동중앙본로2길 46-19 ,서울특별시 양천구 목2동 231-105,2023-04-20
목2동,서울특별시 양천구 목동중앙본로22길 32,서울특별시 양천구 목2동 231-30,2023-04-20
목2동,서울특별시 양천구 목동중앙본로24길 40,서울특별시 양천구 목2동 231-5,2023-04-20
목2동,서울특별시 양천구 목동중앙본로22길 51 ,서울특별시 양천구 목2동 231-72,2023-04-20
목2동,서울특별시 양천구 목동중앙본로 22길64,서울특별시 양천구 목2동 231-149,2023-04-20
목2동,서울특별시 양천구 목동중앙본로 20길61,서울특별시 양천구 목2동 231-150,2023-04-20
목2동,서울특별시 양천구 목동중앙본로 26길42,서울특별시 양천구 목2동 41-50,2023-04-20
목2동,서울특별시 양천구 목동중앙본로 26길36,서울특별시 양천구 목2동 42-7,2023-04-20
목2동,서울특별시 양천구 목동중앙본로 24길22,서울특별시 양천구 목2동 231-10,2023-04-20
목2동,서울특별시 양천구 목동중앙본로 80-13,서울특별시 양천구 목2동 42-95,2023-04-20
목2동,서울특별시 양천구 목동중앙본로 26길22,서울특별시 양천구 목2동 42-34,2023-04-20
목2동,서울특별시 양천구 목동중앙북로 16길 117,서울특별시 양천구 목2동 42-124,2023-04-20
목2동,서울특별시 양천구 목동중앙북로 16길 101,서울특별시 양천구 목2동 558-8,2023-04-20
목2동,서울특별시 양천구 목동중앙북로 16길 94,서울특별시 양천구 목2동 557-26,2023-04-20
목2동,서울특별시 양천구 목동중앙북로 16길 85,서울특별시 양천구 목2동 558-7,2023-04-20
목2동,서울특별시 양천구 목동중앙본로 28길57,서울특별시 양천구 목2동 544-17,2023-04-20
목2동,서울특별시 양천구 목동중앙본로 28길45,서울특별시 양천구 목2동 545-25,2023-04-20
목2동,서울특별시 양천구 목동중앙본로 28길35,서울특별시 양천구 목2동 545-22,2023-04-20
목2동,서울특별시 양천구 목동중앙본로 28길32,서울특별시 양천구 목2동 557,2023-04-20
목2동,서울특별시 양천구 목동중앙본로 28길25-5,서울특별시 양천구 목2동 546-20,2023-04-20
목2동,서울특별시 양천구 목동중앙본로 28길25-10,서울특별시 양천구 목2동 545-47,2023-04-20
목2동,서울특별시 양천구 목동중앙본로 30가길32,서울특별시 양천구 목2동 529-3,2023-04-20
목2동,서울특별시 양천구 목동중앙본로 30가길32,서울특별시 양천구 목2동 529-3,2023-04-20
목2동,서울특별시 양천구 목동중앙본로 30가길54,서울특별시 양천구 목2동 528-7,2023-04-20
목2동,서울특별시 양천구 목동중앙본로 30길50,서울특별시 양천구 목2동 534-10,2023-04-20
목2동,서울특별시 양천구 목동중앙본로 28길37-8,서울특별시 양천구 목2동 545-29,2023-04-20
목2동,서울특별시 양천구 목동중앙북로 14길 64,서울특별시 양천구 목2동 545-27,2023-04-20
목2동,서울특별시 양천구 목동중앙북로 14길 56,서울특별시 양천구 목2동 545-33,2023-04-20
목2동,서울특별시 양천구 목동중앙북로 14길 41,서울특별시 양천구 목2동 535-30,2023-04-20
목2동,서울특별시 양천구 목동중앙북로 16길 16,,2023-04-20
목2동,서울특별시 양천구 목동중앙북로 16길 45,서울특별시 양천구 목2동 536-8,2023-04-20
목2동,서울특별시 양천구 목동중앙북로 16길 48 ,서울특별시 양천구 목2동 543-4,2023-04-20
목2동,서울특별시 양천구 목동중앙북로16가길 43,서울특별시 양천구 목2동 539-11,2023-04-20
목2동,서울특별시 양천구 목동중앙북로 102-10,서울특별시 양천구 목2동 526-14,2023-04-20
목2동,서울특별시 양천구 목동중앙북로 18길 25,서울특별시 양천구 목2동 524-7,2023-04-20
목2동,서울특별시 양천구 목동중앙북로 18길 33,서울특별시 양천구 목2동 538-27,2023-04-20
목2동,서울특별시 양천구 목동중앙북로 24길 64,서울특별시 양천구 목2동 538-18,2023-04-20
목2동,서울특별시 양천구 목동중앙북로 20길 26,서울특별시 양천구 목2동 524-16,2023-04-20
목2동,서울특별시 양천구 목동중앙북로 20길 17,서울특별시 양천구 목2동 523-50,2023-04-20
