약국명,소재지도로명주소,전화번호
남대문약국,"서울특별시 은평구 통일로87길 19, 1층(갈현동)",02-351-3668
은나라약국,"서울특별시 은평구 갈현로 258, (갈현동)",02-358-8778
아름다운달과별약국,"서울특별시 은평구 통일로 855-8, (갈현동)",02-3157-2088
늘푸른약국,서울특별시 은평구 통일로 871 (갈현동),02-357-4648
한겨례약국,"서울특별시 은평구 연서로 219, (갈현동)",02-353-4005
정온누리약국,"서울특별시 은평구 서오릉로 196, 106호(구산동)",02-352-1745
경하프라자약국,"서울특별시 은평구 서오릉로 157, (구산동)",02-385-7271
메디칼약국,"서울특별시 은평구 서오릉로2길 17-5, (녹번동)",02-359-6653
정문온누리약국,"서울특별시 은평구 진흥로 196, (녹번동)",02-549-3003
대우약국,"서울특별시 은평구 통일로 749, (대조동)",02-387-8626
정다운약국,"서울특별시 은평구 진흥로 137, 1층 (대조동)",02-387-8547
희망약국,"서울특별시 은평구 서오릉로 138, (대조동)",02-355-9947
세계로약국,서울특별시 은평구 불광로 54(불광동),02-355-0513
연서메디칼약국,"서울특별시 은평구 연서로 253-9, 1층 (불광동)",02-357-9725
연신내메디칼약국,"서울특별시 은평구 연서로 246, 104호 (불광동)",02-355-6543
함께하는약국,"서울특별시 은평구 수색로 264-1, (수색동)",02-375-1846
DMC역 4번출구약국,서울특별시 은평구 수색로 175  1층 3호(수색동),02-2039-0190
선우약국,"서울특별시 은평구 은평로 56, (신사동)",02-302-5583
신사프라자약국,"서울특별시 은평구 갈현로 16, (신사동)",02-351-4542
승윤약국,"서울특별시 은평구 가좌로 325, (신사동)",02-302-0726
참진약국,"서울특별시 은평구 역말로 40, (역촌동)",02-359-6588
메디팜대원약국,"서울특별시 은평구 진흥로1길 2, (역촌동)",02-359-2720
오온누리약국,서울특별시 은평구 진흥로 97(역촌동),02-701-7063
왕 약국,"서울특별시 은평구 은평로 137, (응암동)",02-352-7533
구세약국,서울특별시 은평구 응암로181 (응암동),02-372-2705
장수약국,"서울특별시 은평구 응암로 248, (응암동)",02-359-7098
연도약국,"서울특별시 은평구 은평로 144, (응암동)",02-355-1534
조은백화점약국,"서울특별시 은평구 응암로 201, (응암동)",02-304-6100
보건약국,"서울특별시 은평구 증산로9길 3, (증산동)",02-373-9508
조은약국,서울특별시 은평구 진관 3로 70번지 821동 상가 103호 (진관동),02-381-6135
애플약국,"서울특별시 은평구 진관2로 57-7, B106호 (진관동)",02-356-1218
은평오렌지약국,"서울특별시 은평구은평구 진관2로 29-21, 113,114호 (진관동, 드림스퀘어)",02-389-5553
가톨릭정문약국,"서울특별시 은평구통일로 1031,1층 102호(진관동)",02-389-9846
